houdu,jiaodu,state
10,0,1
10,20,1
10,40,1
10,60,1
10,80,1
40,0,1
40,20,1
40,40,1
40,60,1
40,80,0
70,0,1
70,20,1
70,40,1
70,60,1
70,80,0
100,0,1
100,20,1
100,40,1
100,60,1
100,80,0
130,0,1
130,20,1
130,40,1
130,60,0
130,80,0
150,0,1
150,20,1
150,40,1
150,60,0
150,80,0
165,0,1
165,20,1
165,40,1
165,60,0
165,80,0
180,0,1
180,20,1
180,40,1
180,60,0
180,80,0
195,0,1
195,20,1
195,40,1
195,60,0
195,80,0
210,0,1
210,20,1
210,40,1
210,60,0
210,80,0
300,0,1
300,20,1
300,40,1
300,60,0
350,0,1
350,20,1
350,40,0
350,60,0
410,0,1
410,20,1
410,40,0
410,60,0
450,0,1
450,20,0
450,40,0
450,60,0
500,0,1
500,20,0
500,40,0
