6.68,10.65,1305,1.41,0.88,0.49,0.018,1.13,0.34,0.6,0.23,151,0.1146 
5.36,8.96,1339,0.87,0.93,0.46,0.019,0.53,0.66,0.23,0.15,83,0.1528 
7.44,7.18,1368,0.39,0.53,0.25,0.003,1.43,0.53,0.32,0.45,139,0.0998 
6.35,4.76,1283,1.69,0.7,0.57,0.007,0.62,0.38,0.28,0.16,146,0.2167 
9.47,10.94,1489,1.66,1.43,0.68,0.013,0.5,0.45,0.28,0.4,34,0.0654 
5.34,9.26,1187,1.24,1.8,0.42,0.018,0.73,0.54,0.65,0.25,115,0.2688 
6.16,7.64,1268,1.53,1.07,0.44,0.018,1.13,0.24,0.55,0.47,43,0.1282 
9.83,9.54,1310,0.71,0.42,0.21,0.009,1.09,0.49,0.7,0.31,129,0.0493 
8.94,7.22,1372,1.74,1.69,0.52,0.015,1.75,0.6,0.59,0.22,156,0.1785 
9.13,11.57,1070,0.78,1.46,0.24,0.005,1.91,0.24,0.39,0.27,58,0.0605 
5.08,8.66,812,1.25,1.03,0.44,0.006,1.47,0.54,0.38,0.32,173,0.1926 
11.24,9.15,835,0.9,1.02,0.25,0.008,1.61,0.24,0.22,0.18,60,0.0417 
8.53,5.07,942,1.59,1.72,0.66,0.007,1.14,0.67,0.35,0.37,187,0.2562 
6.67,11.04,1496,1.77,0.74,0.36,0.011,0.89,0.31,0.45,0.28,65,0.0774 
11.34,7.6,992,0.55,1.07,0.32,0.004,0.85,0.2,0.46,0.26,194,0.0858 
9.23,6.12,964,1.68,1.22,0.4,0.003,1.62,0.66,0.59,0.18,185,0.1281 
6.87,11.91,1406,0.54,1.78,0.61,0.004,0.87,0.58,0.35,0.45,79,0.1420 
7.87,7.42,1153,1.28,0.64,0.36,0.004,1.82,0.42,0.66,0.18,44,0.0548 
9.07,5.07,1006,1.35,1.02,0.64,0.013,1.51,0.29,0.31,0.17,119,0.1422 
9.06,4.76,1217,1.47,0.31,0.57,0.007,0.92,0.43,0.23,0.22,98,0.0726 
5.33,6.09,1073,1.31,1.38,0.52,0.012,1.32,0.5,0.42,0.21,16,0.1550 
5.44,8.42,853,1.45,1.28,0.6,0.018,1.57,0.52,0.36,0.21,181,0.2457 
11.55,9.72,1360,0.45,1.14,0.65,0.008,1.21,0.22,0.67,0.48,99,0.0647 
6.71,11.39,1144,1.51,1.69,0.67,0.012,0.94,0.39,0.54,0.23,96,0.1427 
11.55,8.02,1089,1.68,1.53,0.42,0.003,1.45,0.23,0.32,0.25,18,0.0441 
5.8,11.43,841,1.39,1.12,0.59,0.012,1.86,0.2,0.42,0.45,165,0.1365 
10.36,9.55,1438,1.53,0.5,0.33,0.012,0.6,0.2,0.21,0.28,29,0.0292 
5.15,9.29,1213,1.35,0.96,0.45,0.007,1.97,0.2,0.23,0.11,104,0.1675 
8.97,10.25,904,1.08,1.21,0.65,0.007,0.9,0.4,0.31,0.13,144,0.0897 
6.06,9.2,1050,1.73,1.32,0.26,0.005,1.16,0.46,0.38,0.12,43,0.1107 
7.7,9.25,904,1.12,1.71,0.51,0.007,1.48,0.58,0.57,0.37,143,0.1608 
5.99,10.48,1433,0.76,0.36,0.47,0.007,0.58,0.55,0.66,0.27,85,0.0599 
7.58,11.33,905,1.63,0.3,0.3,0.02,0.78,0.51,0.42,0.13,118,0.0450 
7.27,6.39,956,1.7,1.07,0.22,0.014,1.11,0.34,0.39,0.48,135,0.1427 
6.69,4.4,1141,1.41,1.52,0.52,0.005,0.54,0.21,0.41,0.31,107,0.3155 
8.16,4.76,1125,0.68,1.32,0.48,0.01,0.81,0.54,0.54,0.2,73,0.1721 
9.23,4.47,1386,1.46,1.64,0.44,0.019,0.78,0.44,0.3,0.17,142,0.2599 
6.61,6.88,1475,0.39,1.72,0.27,0.018,0.91,0.51,0.35,0.17,113,0.2892 
6.26,11.06,1087,0.75,0.96,0.31,0.019,1.41,0.32,0.23,0.48,37,0.0697 
10.91,10.74,1168,0.5,0.43,0.45,0.02,0.6,0.58,0.21,0.1,48,0.0246 
9.64,7.97,1028,0.89,1.25,0.28,0.02,1.25,0.22,0.42,0.23,85,0.0877 
10.93,7.1,815,1.47,1.2,0.68,0.009,1.79,0.21,0.5,0.47,81,0.0737 
9.74,11.73,982,1.18,1.44,0.41,0.01,0.98,0.57,0.66,0.36,133,0.0793 
11.54,4.93,1152,1.78,0.4,0.56,0.008,1.22,0.5,0.33,0.25,10,0.0200 
9.65,11.17,1004,0.6,1.14,0.65,0.003,0.92,0.55,0.36,0.44,171,0.0759 
7.53,6.98,1388,1.31,1.68,0.32,0.017,1.92,0.39,0.48,0.21,57,0.1631 
11.25,5.99,1092,1.1,1.2,0.36,0.003,0.61,0.56,0.25,0.38,67,0.0871 
7,7.63,1426,0.64,1.18,0.27,0.019,0.81,0.51,0.69,0.21,105,0.1673 
