damageLevel,hurt,collapse,deltaP,ammoQuantity,outerSideLength,outerSideWidth,outerHeight,roofThick,wallThick,soilThick,liningPlateThick
1,8.27E-06,0,1.65E-05,2,6,7,4,1.5,1.5,2,0.4
1,1.79E-06,0,3.59E-06,5,8.5,7,5.5,1.5,1.5,2,0.35
1,1.39E-06,0,2.79E-06,6,10.5,7,5,1.5,1.5,2,0.45
2,0.2313,0.1042,5.23E-06,5,5,7,6,1.5,1,2,0.3
2,0.1857,0.0738,4.11E-06,7,8,7,5.5,1.5,1.5,2,0.4
4,0.80612624,0.1279,0.08826578,22,10.5,7,7.5,1.5,1,2,0.25
1,8.27E-06,0,1.65E-05,2,6,7,3,1.5,1,2,0.4
2,0.1701,0.0634,3.10E-06,8,8.5,7,4.5,1.5,1,2,0.45
1,6.38E-06,0,1.28E-05,5,4,7,3.5,1.5,0.5,2,0.35
1,4.12E-06,0,8.24E-06,4,6.5,7,5,1.5,1.5,2,0.4
1,1.04E-05,0,2.08E-05,5,9.5,7,2,1.5,0.5,2,0.25
4,0.97726916,0.5159,0.17726916,22,6,7,7,1.5,1,2,0.1
3,0.47893333,0.2842,8.00E-06,20,8,7,4.5,1.5,1.5,2,0.4
4,1,0.277,0.93746133,10,4.5,7,2,1.5,1,2,0.25
2,0.2226,0.0984,2.53E-06,4,6.5,7,6.5,1.5,1,2,0.3
2,0.1731,0.0654,3.83E-06,3,6.5,7,7.5,1.5,1.5,2,0.25
1,2.87E-05,0,5.73E-05,3,7,7,2,1.5,1,2,0.2
2,0.21765,0.0951,2.31E-06,9,9,7,6.5,1.5,1.5,2,0.35
2,0.1953,0.0802,5.67E-06,5,10.5,7,3,1.5,1,2,0.25
1,3.41E-06,0,6.82E-06,1,10,7,3.5,1.5,1.5,2,0.4
1,7.90E-07,0,1.57E-06,1,9,7,6,1.5,1,2,0.35
4,0.87464616,0.1169,0.09683077,5,10.5,7,5.5,1.5,0.5,2,0.15
4,0.7058196,0.0633,0.07572745,14,9.5,7,7.5,1.5,0.5,2,0.35
2,0.1839,0.0726,2.53E-06,3,8.5,7,4,1.5,0.5,2,0.3
4,1,0.3086,0.40605615,16,7,7,3.5,1.5,1.5,2,0.45
2,0.213,0.092,2.91E-06,7,9.5,7,3.5,1.5,0.5,2,0.4
1,1.71E-05,0,3.42E-05,6,6,7,3,1.5,1.5,2,0.4
1,2.83E-06,0,5.67E-06,5,10.5,7,3,1.5,1,2,0.3
2,0.24105,0.1107,7.18E-06,4,6,7,6,1.5,1.5,2,0.3
1,4.30E-07,0,8.60E-07,2,9,7,6.5,1.5,0.5,2,0.4
1,2.21E-05,0,4.43E-05,4,6,7,2,1.5,0.5,2,0.25
4,0.97204541,0.4577,0.17204541,25,10.5,7,3.5,1.5,0.5,2,0.15
4,1,0.3019,0.20523421,18,4,7,6.5,1.5,0.5,2,0.35
4,1,0.4506,0.24403061,23,9,7,3.5,1.5,1,2,0.1
4,1,0.0945,0.259925,10,7,7,5.5,1.5,1.5,2,0.35
2,0.1572,0.0548,1.95E-06,4,10.5,7,6,1.5,1.5,2,0.25
2,0.2202,0.0968,3.48E-06,9,4,7,6.5,1.5,0.5,2,0.4
2,0.20145,0.0843,2.79E-06,6,4.5,7,6.5,1.5,0.5,2,0.35
2,0.2184,0.0956,8.49E-06,4,5,7,3.5,1.5,0.5,2,0.25
2,0.1788,0.0692,2.16E-06,1,4.5,7,7.5,1.5,0.5,2,0.15
4,1,0.3449,0.22943277,12,9.5,7,3,1.5,0.5,2,0.1
2,0.20955,0.0897,5.23E-06,1,6.5,7,4.5,1.5,1,2,0.15
4,0.97396078,0.1975,0.17396078,24,6.5,7,6.5,1.5,1,2,0.35
2,0.1674,0.0616,2.31E-06,6,8,7,5.5,1.5,1,2,0.4
3,0.39533333,0.2215,2.14E-05,6,4.5,7,3.5,1.5,1,2,0.45
4,0.91793891,0.2452,0.11793891,14,9.5,7,5,1.5,0.5,2,0.1
4,0.7730424,0.0756,0.0841303,25,10,7,6.5,1.5,0.5,2,0.45
1,9.36E-06,0,1.87E-05,4,7.5,7,2.5,1.5,1,2,0.3
2,0.27,0.13,9.30E-06,7,7.5,7,4,1.5,1.5,2,0.45
4,1,0.5869,0.45244943,10,4,7,3,1.5,0.5,2,0.2
1,1.04E-05,0,2.08E-05,1,9.5,7,2,1.5,0.5,2,0.4
2,0.1659,0.0606,2.31E-06,1,6,7,7.5,1.5,1,2,0.15
4,1,0.1213,0.35514862,6,9.5,7,3,1.5,1.5,2,0.25
2,0.2646,0.1264,1.10E-05,3,6,7,3.5,1.5,1,2,0.25
1,7.38E-06,0,1.48E-05,3,8.5,7,2.5,1.5,1,2,0.45
4,0.98339908,0.0947,0.18339908,7,6,7,5,1.5,0.5,2,0.3
3,0.386,0.2145,2.27E-05,7,6,7,3.5,1.5,1.5,2,0.4
2,0.186,0.074,2.31E-06,11,8,7,5.5,1.5,1,2,0.45
2,0.1596,0.0564,1.95E-06,5,10,7,4,1.5,0.5,2,0.3
4,1,0.3112,0.26057674,14,10.5,7,3,1.5,1,2,0.15
2,0.2592,0.1228,4.77E-06,4,4,7,5.5,1.5,0.5,2,0.35
1,6.70E-07,0,1.35E-06,3,7.5,7,6,1.5,0.5,2,0.35
1,2.02E-06,0,4.04E-06,3,7.5,7,6,1.5,1.5,2,0.45
2,0.1827,0.0718,3.83E-06,12,6.5,7,7.5,1.5,1.5,2,0.45
4,0.94920813,0.2261,0.14920813,7,5.5,7,6.5,1.5,0.5,2,0.1
4,0.97968172,0.2969,0.17968172,15,7,7,4.5,1.5,0.5,2,0.25
4,0.7858248,0.1413,0.0857281,15,9,7,7,1.5,0.5,2,0.2
2,0.1623,0.0582,2.18E-06,1,7,7,6.5,1.5,1,2,0.15
2,0.2454,0.1136,4.97E-06,14,6.5,7,6.5,1.5,1.5,2,0.35
2,0.19995,0.0833,5.10E-06,2,7.5,7,4,1.5,1,2,0.2
1,9.70E-07,0,1.95E-06,1,10,7,4,1.5,0.5,2,0.45
4,1,0.3055,0.24403061,13,8,7,5,1.5,1.5,2,0.25
1,3.59E-06,0,7.18E-06,2,10,7,2.5,1.5,0.5,2,0.1
4,1,0.3628,0.28282273,24,6.5,7,4,1.5,1,2,0.25
1,1.53E-05,0,3.05E-05,2,7.5,7,2,1.5,0.5,2,0.1
4,1,0.2081,0.42336897,17,5.5,7,4.5,1.5,1.5,2,0.3
2,0.1698,0.0632,6.99E-06,1,8.5,7,4,1.5,1.5,2,0.1
3,0.32266667,0.167,9.30E-06,8,5,7,4.5,1.5,1,2,0.45
2,0.2667,0.1278,1.65E-05,4,10.5,7,2.5,1.5,1.5,2,0.1
1,1.93E-05,0,3.87E-05,11,6.5,7,2,1.5,0.5,2,0.3
4,0.97396078,0.0902,0.17396078,12,7,7,6,1.5,1,2,0.4
1,2.21E-05,0,4.43E-05,3,4.5,7,4,1.5,1.5,2,0.3
3,0.3152,0.1614,9.30E-06,1,5,7,4.5,1.5,1,2,0.15
2,0.1593,0.0562,2.31E-06,7,9,7,6.5,1.5,1.5,2,0.35
3,0.33173333,0.1738,1.10E-05,5,5.5,7,5.5,1.5,1.5,2,0.35
1,5.40E-05,0,0.00010807,1,4,7,3.5,1.5,1.5,2,0.25
2,0.21585,0.0939,5.23E-06,6,5.5,7,4,1.5,0.5,2,0.35
1,2.88E-06,0,5.77E-06,2,4.5,7,4.5,1.5,0.5,2,0.35
1,2.48E-06,0,4.97E-06,1,8,7,5,1.5,1.5,2,0.3
2,0.19305,0.0787,5.23E-06,7,8.5,7,3,1.5,0.5,2,0.3
2,0.1734,0.0656,4.50E-06,7,10.5,7,4,1.5,1.5,2,0.45
2,0.2346,0.1064,6.00E-06,1,5.5,7,5,1.5,1,2,0.1
2,0.17235,0.0649,4.11E-06,4,10,7,3.5,1.5,1,2,0.3
1,5.49E-06,0,1.10E-05,2,4,7,5.5,1.5,1,2,0.45
